Source,Target
fortineroamorir,elsaseoane
fortineroamorir,HugoYasky
Luz_opinando,KLibrado
LaErnes,Red__Accion
apyri,grainesOFchange
mocho195,matute_cost
Mmeylo,Winston_Dunhill
ZaccariDz,jorhurt
mocho195,fvallejoss
hjaime05,Maurito177
gabibresi,Winston_Dunhill
mariancavandoli,roberto_10k
ruberti_nelson,Winston_Dunhill
kittyGorila,NunkMasKs
Dani_deCatan,Juanjos_RP
mocho195,marceloursino
losinvisibiliza,C5N
losinvisibiliza,minutounocom
losinvisibiliza,Gatosylvestre
lapalabraargent,KLibrado
monicagracela,alzicarelli
Ely7171,RiesgoPaisOK
aab5a381d3e4405,KLibrado
mariapax5,KLibrado
martuBallari,aeronauticosCFK
MONICA_GRANDE,KLibrado
JORGECR05067134,fvallejoss
monicagracela,KLibrado
silviarienzo,NanNFC
marumorey,austhralis
Florvillac,ElIslandes
Edibe11Glen,NunkMasKs
mocho195,DiarioPulse
mocho195,HugoYasky
CintiaDemetrio,Juanjos_RP
CintiaDemetrio,LCrin3…
ReinasolarJuana,jorhurt
MatiEzequieLugo,alzicarelli
Ely7171,jorhurt
soymaferalas,barbeitonoelia
juliorial,KLibrado
andrevaz5449,roberto_10k
DianaDevoto,ColifaBack
LilianaHebe,KLibrado
Communism_Pwr,simpsonsymacri
Communism_Pwr,Communism_Pwr
MatiEzequieLugo,NunkMasKs
Edibe11Glen,alzicarelli
teamclare12,Alechaschas
cadavezmask,simpsonsymacri
cadavezmask,Communism_Pwr
sontodonarko,CamporaPoMadero
sontodonarko,Mi…
centurioso,simpsonsymacri
centurioso,Communism_Pwr
Serbarthol,NunkMasKs
boudiladri3,maumacrii
Anyulina63,DoctorArgentino
josemariatummin,KLibrado
AlbertoGLeone,Winston_Dunhill
CasabuLaura,jorhurt
mauroperalvo,rayovirtual
mauroperalvo,capitanqueso
mauroperalvo,ALE_MAR37
Choripaneame,grainesOFchange
nbc_354,elsaseoane
nbc_354,HugoYasky
santadelcielo,fertchus
josebalcarceee,motoreco_ok
Pablo_89980,KLibrado
betances99,Winston_Dunhill
MarceloBrusco,aeronauticosCFK
josebalcarceee,ElIslandes
CJG_Ultra_K,RevistaPPV
CJG_Ultra_K,CTAok
CJG_Ultra_K,cta_autonoma
CJG_Ultra_K,MicheliPablo
CJG_Ultra_K,HugoYasky
glebelysha,DiarioPulse
glebelysha,MatiasRodrigTDF)
ZaccariDz,fantasmareturn
RosarioK25,grainesOFchange
coutoliliana,KLibrado
nobloco,elsaseoane
nobloco,HugoYasky
josebalcarceee,OlgaLilianaAbr1
ArmandoCorallo,KLibrado
FernndoCampos1,jorhurt
InizarreLM,fertchus
Sir_Neble,Winston_Dunhill
rubenalbertool1,Juanjos_RP
Ely7171,NoFueMagia3
sofiasassone,DaveDavepanzak
sofiasassone,mauriciomacri
sofiasassone,CFKArgentina
sofiasassone,C5N
sofiasassone,robdnavarro
ederc7878,NanNFC
edelveis_sol,roberto_10k
AlejandraMazzeo,KLibrado
Ely7171,JuventudMiles
Ely7171,Luis_Delia
Ely7171,"s
marchando"
vickytopia18,CiudadanoHess
Marcos220436521,Cleocleo65
Paula_Blasquez,hernanletcher
Paula_Blasquez,rindart
Paula_Blasquez,canal26noticias
tanosjar7,OmarAliCandanga
GynutG,Juanjos_RP
GynutG,LCrin3…
manuelunc,pagina12
excursioperon,Juanjos_RP
excursioperon,LCrin3…
RoxDeLuca13,roberto_10k
teoyra,raul_lucarini
teoyra,NicoDujovne
teoyra,AsisOberdan
teoyra,wwnicolas
BabcockAlan,ycnanSoy
julian_florida,KLibrado
DianaDevoto,NunkMasKs
ArrietaMonicaC,alzicarelli
ederc7878,fridakaloqqn
QuinterLeonor,Juanjos_RP
QuinterLeonor,LCrin3…
MarceloBrusco,aeronauticosCFK
Annhipd,Winston_Dunhill
lomje22,pagina12
Azkeel_17,NunkMasKs
FinDeCicloK,Winston_Dunhill
DanaPontet,grainesOFchange
Ely7171,NoMeOlvides52
mariapax5,roberto_10k
chichibatti,NunkMasKs
tanosjar7,doctagaby
cristiananj,Winston_Dunhill
Chivita_70,EquipoEPVS
Beslet2,luisl4
OshidaKaneko,KLibrado
noem1112,dariodefran
horaciocelis291,EquipoEPVS
Germandetigre,Winston_Dunhill
CristinaTerzolo,roberto_10k
1genoveva,NunkMasKs
horaciocelis291,EquipoEPVS
MyriamEspindola,NanNFC
elvirabenitez17,alzicarelli
simonaricci,Winston_Dunhill
sergio_spitz,dariodefran
simonaricci,Winston_Dunhill
Chivita_70,motoreco_ok
nbc_354,CataCiclon
mavica7,KLibrado
KumpaLili,grainesOFchange
fortineroamorir,OlgaLilianaAbr1
mariancavandoli,roberto_10k
marcosdeh,grainesOFchange
CarlosCr24,DATOWORLD
michelac24,CronicaTV
Turis2364,KLibrado
GayinaMiyonaria,RobiBaradel
Ely7171,CristianMiokovi
49MO,alzicarelli
Luisalb10191722,fertchus
manuelunc,CronicaTV
RoxDeLuca13,KLibrado
alicia_borg,NunkMasKs
mariapax5,NunkMasKs
maevard,DaveDavepanzak
maevard,mauriciomacri
maevard,CFKArgentina
maevard,C5N
maevard,robdnavarro
RitaSalgado1944,fvallejoss
EscaladaAda,motoreco_ok
oprajzner,Juanjos_RP
oprajzner,VARIMAK
oprajzner,LCrin3
oprajzner,CirceF_
oprajzner,luckfor
oprajzner,knuelas
oprajzner,azu59
oprajzner,SNAdeORA
oprajzner,j…
Superalitita,austhralis
martabonita,Winston_Dunhill
RoxDeLuca13,Alechaschas
UBCH_VV,doctagaby
Chivita_70,PolArg
gmasf1,Winston_Dunhill
tatimoran3,marceloursino
molinaadri1,KLibrado
46lombardo,CiudadanoHess
alfredomontial,pagina12
CLAUDIAMAS2005,alzicarelli
kimse1,fertchus
mariancavandoli,FlorencioDelabe
alicianicolett1,DaveDavepanzak
alicianicolett1,mauriciomacri
alicianicolett1,CFKArgentina
alicianicolett1,C5N
alicianicolett1,robdnavarro
Marcos220436521,austhralis
FernndoCampos1,jorhurt
Ely7171,AGEPEBA
FernndoCampos1,ycnanSoy
abellop23177345,grainesOFchange
Negrokircheris1,elsaseoane
Negrokircheris1,HugoYasky
mlapaz1,Juanjos_RP
VeronicaM_B,CronicaTV
CLAUDIAMAS2005,roberto_10k
Laurimenzi,alzicarelli
turkishais,ColifaBack
Irlandes1973,roberto_10k
marioariel79,austhralis
larainlove,fertchus
baliran_ana,simpsonsymacri
baliran_ana,Communism_Pwr
joalcaba,alzicarelli
rodoljungberg,Winston_Dunhill
Chivita_70,maumacrii
EduardoOviedo69,Juanjos_RP
ElContra16,ElIslandes
jcvpositivo,OlgaLilianaAbr1
MAGarbuglia,fvallejoss
Leo86736194,OmarAliCandanga
maxgiannobi,Winston_Dunhill
josebalcarceee,izquierdadiario
MagaritaVarela,DiarioPulse
MagaritaVarela,HugoYasky
Leo86736194,OmarAliCandanga
MauriMalosAyres,pagina12
Mariel06767384,maumacrii
docobregon,alzicarelli
LILIANAIVALDI,Alechaschas
elibearc,eduardojozami
germanallende,maumacrii
gfbalboa71,motoreco_ok
unLOCOMAS77,luisl4
oscarchanc,Winston_Dunhill
josebalcarceee,EquipoEPVS
leileitesora,ycnanSoy
Leo86736194,NEComuna13
MilloStone79,Juanjos_RP
germanallende,maumacrii
noegallorea,PolArg
solojulia2013,NunkMasKs
doctagaby,zu_alondra
AroldoAlfonso,pagina12
josecastillo_is,GiordanoGringo
josecastillo_is,C5N
patriciadagost3,Maurito177
Silvaleri,RCACorrientes
Silvaleri,RCACorrientes
Silvaleri,CTAok
Silvaleri,Lili_Kputo
Silvaleri,EvaVeron27
Silvaleri,groglio
Ely7171,jorhurt
cristian180394,maumacrii
StellaM52417488,Juanjos_RP
StellaM52417488,VARIMAK
StellaM52417488,LCrin3
StellaM52417488,CirceF_
StellaM52417488,luckfor
StellaM52417488,knuelas
StellaM52417488,azu59
StellaM52417488,SNAdeORA
StellaM52417488,j…
pll_apdh,pagina12
AdriOberti,alzicarelli
818Edelmira,Juanjos_RP
818Edelmira,VARIMAK
818Edelmira,LCrin3
818Edelmira,CirceF_
818Edelmira,luckfor
818Edelmira,knuelas
818Edelmira,azu59
818Edelmira,SNAdeORA
818Edelmira,j…
josebalcarceee,grainesOFchange
alius145,pagina12
Ely7171,grainesOFchange
carlacatina,MatiasERuiz
josebalcarceee,Era_China_Oh
dilma2013,GFrondizi
CataCiclon,palabra_maestra
CataCiclon,Sutebasf
Pajaro05Autlook,jorhurt
victor85_,OmarAliCandanga
germanallende,maumacrii
StortiMarcos,alzicarelli
amparitook,Winston_Dunhill
mayora42,antik1100000
oprajzner,DaveDavepanzak
oprajzner,mauriciomacri
oprajzner,CFKArgentina
oprajzner,C5N
oprajzner,robdnavarro
Ely7171,pagina12
hik2782,Winston_Dunhill
chiercris54,OmarAliCandanga
CataCiclon,Sutebasf
PochiRafael,ColifaBack
ANTIKKKKKKKKK,antik1100000
ANTIKKKKKKKKK,C5N
germanallende,Juanjos_RP
Juanjos_RP,VARIMAK
Juanjos_RP,LCrin3
Juanjos_RP,CirceF_
Juanjos_RP,luckfor
Juanjos_RP,knuelas
Juanjos_RP,azu59
Juanjos_RP,SNAdeORA
Juanjos_RP,jorhurt
