Source,Target
humano_demasia3,anymariacm
msrossi65,Vazdrian
Aslaug59,lanatoparatodos
Beop78Beatriz,bastadebaradel
claususoto,populismokiller
isacia,anymariacm
MaritaTodaro,yoconelcambio
EnriqueCoquet,Pajara_12
olegariogutman1,AdRiMaR_
RicardoSambata1,lanatoparatodos
arq_d_santillan,lanatoparatodos
mariaguilly,Pajara_12
piva_adriana,ProEstoyConVos
aracenacesar,ProEstoyConVos
elbabudetini,Pajara_12
soniafurer,pistachon_
arq_d_santillan,lanatoparatodos
arq_d_santillan,cambiemos
twmediocre,twmediocre
