name,city,id,lat,lng,airport_id
Comodoro Pierrestegui Airport,Concordia,COC,-31.2969,-57.9966,2436
Gualeguaychu Airport,Gualeguaychu,GHU,-33.0103,-58.6131,2437
Junin Airport,Junin,\N,-34.5459,-60.9306,2438
General Urquiza Airport,Parana,PRA,-31.7948,-60.4804,2439
Islas Malvinas Airport,Rosario,ROS,-32.9036,-60.785,2440
Sauce Viejo Airport,Santa Fe,SFN,-31.7117,-60.8117,2441
Jorge Newbery Airpark,Buenos Aires,AEP,-34.5592,-58.4156,2442
Ingeniero Ambrosio Taravella Airport,Cordoba,COR,-31.323600769,-64.2080001831,2443
Chamical Airport,Gobernador Gordillo,\N,-30.34530067,-66.29360198,2444
San Fernando Airport,San Fernando,\N,-34.4532,-58.5896,2445
Mariano Moreno Airport,Jose C. Paz,\N,-34.5606,-58.7896,2446
La Plata Airport,La Plata,LPG,-34.9722,-57.8947,2447
Moron Airport,Moron,\N,-34.6763,-58.6428,2448
El Palomar Airport,El Palomar,\N,-34.6099,-58.6126,2449
Chos Malal Airport,Chosmadal,\N,-37.444698333699996,-70.2225036621,2450
Dr. Arturo H. Illia Airport,Fuerte Gral Roca,\N,-39.0007019043,-67.6204986572,2451
El Plumerillo Airport,Mendoza,MDZ,-32.8316993713,-68.7929000854,2452
Comodoro D.R. Salomón Airport,Malargue,LGS,-35.493598938,-69.5743026733,2453
Suboficial Ay Santiago Germano Airport,San Rafael,AFA,-34.588299,-68.4039,2454
Catamarca Airport,Catamarca,CTC,-28.5956001282,-65.751701355,2455
Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,SDE,-27.765556335399996,-64.3099975586,2456
Tinogasta Airport,Tinogasta,\N,-28.0377998352,-67.5802993774,2457
Capitan V A Almonacid Airport,La Rioja,IRJ,-29.3815994263,-66.7957992554,2458
Chilecito Airport,Chilecito,\N,-29.2238998413,-67.4389038086,2459
Teniente Benjamin Matienzo Airport,Tucuman,TUC,-26.8409,-65.104897,2460
Domingo Faustino Sarmiento Airport,San Julian,UAQ,-31.571501,-68.418198,2461
Area De Material Airport,Rio Cuarto,RCU,-33.0850982666,-64.2612991333,2462
Villa Dolores Airport,Villa Dolores,VDR,-31.9451999664,-65.1463012695,2463
La Quiaca Airport,Laboulaye,\N,-22.1506004333,-65.57749938959999,2464
Marcos Juarez Airport,Marcos Juarez,\N,-32.6836,-62.1578,2465
Villa Reynolds Airport,Villa Reynolds,\N,-33.7299003601,-65.3873977661,2466
Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,LUQ,-33.2732009888,-66.3563995361,2467
Corrientes Airport,Corrientes,CNQ,-27.4455,-58.7619,2468
Resistencia International Airport,Resistencia,RES,-27.45,-59.0561,2469
Formosa Airport,Formosa,FMA,-26.2127,-58.2281,2470
Cataratas Del Iguazú International Airport,Iguazu Falls,IGR,-25.737300872800002,-54.473400116,2471
Paso De Los Libres Airport,Paso De Los Libres,AOL,-29.6894,-57.1521,2472
Monte Caseros Airport,Monte Caseros,\N,-30.2719,-57.6402,2473
Libertador Gral D Jose De San Martin Airport,Posadas,PSS,-27.3858,-55.9707,2474
