Source,Target,Label
AEP,MDQ,8R
AEP,PRA,8R
AEP,ROS,8R
AEP,SFN,8R
BHI,MDQ,8R
BHI,REL,8R
BRC,CRD,8R
BRC,EQS,8R
COR,MDZ,8R
COR,ROS,8R
CRD,NQN,8R
CRD,REL,8R
CRD,RGL,8R
EQS,BRC,8R
EQS,CRD,8R
MDQ,AEP,8R
MDQ,BHI,8R
MDZ,COR,8R
MDZ,NQN,8R
NQN,CRD,8R
NQN,MDZ,8R
PRA,AEP,8R
REL,BHI,8R
REL,BRC,8R
REL,CRD,8R
REL,EQS,8R
RGA,RGL,8R
RGL,CRD,8R
RGL,RGA,8R
RGL,USH,8R
ROS,AEP,8R
ROS,COR,8R
SFN,AEP,8R
AEP,AFA,AR
AEP,BHI,AR
AEP,BRC,AR
AEP,COR,AR
AEP,CPC,AR
AEP,CRD,AR
AEP,CTC,AR
AEP,EQS,AR
AEP,FMA,AR
AEP,FTE,AR
AEP,IGR,AR
AEP,IRJ,AR
AEP,JUJ,AR
AEP,LUQ,AR
AEP,MDQ,AR
AEP,MDZ,AR
AEP,NQN,AR
AEP,PRA,AR
AEP,PSS,AR
AEP,REL,AR
AEP,RES,AR
AEP,RGA,AR
AEP,RGL,AR
AEP,RHD,AR
AEP,ROS,AR
AEP,RSA,AR
AEP,SDE,AR
AEP,SFN,AR
AEP,SLA,AR
AEP,TUC,AR
AEP,UAQ,AR
AEP,USH,AR
AEP,VDM,AR
AFA,AEP,AR
AFA,LUQ,AR
BHI,AEP,AR
BRC,AEP,AR
BRC,COR,AR
BRC,EZE,AR
BRC,MDZ,AR
COR,AEP,AR
COR,BRC,AR
COR,EZE,AR
COR,JUJ,AR
COR,MDZ,AR
COR,SLA,AR
CPC,AEP,AR
CRD,AEP,AR
CRD,NQN,AR
CTC,AEP,AR
EQS,AEP,AR
EZE,BRC,AR
EZE,COR,AR
EZE,FTE,AR
EZE,IGR,AR
EZE,MDZ,AR
EZE,REL,AR
EZE,ROS,AR
EZE,USH,AR
FMA,AEP,AR
FTE,AEP,AR
FTE,EZE,AR
FTE,USH,AR
IGR,AEP,AR
IGR,EZE,AR
IGR,SLA,AR
IRJ,AEP,AR
JUJ,AEP,AR
JUJ,COR,AR
LUQ,AEP,AR
MDQ,AEP,AR
MDZ,AEP,AR
MDZ,BRC,AR
MDZ,COR,AR
MDZ,EZE,AR
MDZ,NQN,AR
MDZ,SLA,AR
NQN,AEP,AR
NQN,CRD,AR
NQN,MDZ,AR
PRA,AEP,AR
PSS,AEP,AR
REL,AEP,AR
REL,EZE,AR
RES,AEP,AR
RGA,AEP,AR
RGL,AEP,AR
RHD,AEP,AR
ROS,AEP,AR
ROS,EZE,AR
RSA,AFA,AR
SDE,AEP,AR
SFN,AEP,AR
SLA,AEP,AR
SLA,COR,AR
SLA,IGR,AR
SLA,MDZ,AR
TUC,AEP,AR
UAQ,AEP,AR
USH,AEP,AR
USH,EZE,AR
USH,FTE,AR
VDM,REL,AR
EZE,FTE,KL
FTE,USH,KL
AEP,BHI,LA
AEP,BRC,LA
AEP,COR,LA
AEP,CRD,LA
AEP,IGR,LA
AEP,MDZ,LA
AEP,NQN,LA
AEP,RGL,LA
AEP,SLA,LA
AEP,TUC,LA
AEP,UAQ,LA
AEP,USH,LA
BHI,AEP,LA
BRC,AEP,LA
COR,AEP,LA
CRD,AEP,LA
IGR,AEP,LA
MDZ,AEP,LA
NQN,AEP,LA
RGL,AEP,LA
SLA,AEP,LA
TUC,AEP,LA
UAQ,MDZ,LA
USH,AEP,LA
AEP,PMY,OY
AEP,SLA,OY
PMY,AEP,OY
SLA,AEP,OY
